GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24000504204021,0.09345026,0.635356357,0.672756687,0.129325244,6130.55393,0.0
G24000504204022,0.093246041,0.617684708,0.628545574,0.091045181,9209.668317,0.0
G24000504205001,0.048338634,0.627025942,0.553814797,0.049974982,29145.3738,0.0
G24000504205002,0.11168001,0.666556441,0.679785434,0.193151485,-5207.601898,0.0
G24000504206001,0.102854004,0.610675588,0.630966421,0.155918133,-8097.011361,0.0
G24000504206002,0.063741887,0.620210361,0.552159943,0.029613253,25762.94267,0.0
G24000504206003,0.085054789,0.606992406,0.586592765,0.065172822,16358.35587,0.0
G24000504207011,0.098531623,0.614407291,0.686701086,0.126308522,13986.57316,0.0
G24000504207021,0.126246016,0.568809352,0.762358399,0.13418617,6567.752873,0.0
G24000504208001,0.07550429,0.598709481,0.637510413,0.100594464,12450.1286,0.0
G24000504208002,0.147389489,0.607695628,0.728097108,0.145666435,-1823.878857,0.0
G24000504208003,0.129538265,0.575091059,0.725772454,0.170698907,-14483.71383,0.0
G24000504209001,0.167510651,0.626651204,0.59557301,0.166702811,-18392.44304,0.0
G24000504209002,0.073866454,0.442675761,0.562369499,0.108222801,39564.36099,0.0
G24000504209003,0.063141331,0.42036251,0.55118137,0.069921484,44763.70029,0.0
G24000504210001,0.097064698,0.465567947,0.591150147,0.112994753,1287.520823,0.0
G24000504211011,0.138028808,0.571322798,0.616009802,0.332018425,-44721.94887,0.0
G24000504211012,0.145183528,0.532484588,0.608761242,0.197186405,58.60554887,0.0
G24000504211021,0.124940703,0.605695037,0.730473549,0.112898233,-1178.070842,0.0
G24000504211022,0.047591715,0.59720495,0.557285636,0.046912863,28285.29577,0.0
G24000504212001,0.11749634,0.593764216,0.841752978,0.165136845,-20397.51362,0.0
G24000504212002,0.13846676,0.588824671,0.77908673,0.133084033,-17358.91888,0.0
G24000504213001,0.113659557,0.595395643,0.688387152,0.141740186,-18647.34396,0.0
G24000504213003,0.118558163,0.526436818,0.659382027,0.127579847,-36553.60493,0.0
G24000504301012,0.090811168,0.643042787,0.615231757,0.08442201,9279.851928,0.016897514
G24000504301041,0.136813202,0.612045124,0.848057337,0.219011156,-10108.55275,0.005444957
G24000504301042,0.145587231,0.623021762,0.826691715,0.267347967,-16021.12824,0.002131884
G24000504302001,0.120061877,0.629587818,0.769059578,0.16273722,9393.890947,0.0
G24000504302002,0.147134201,0.665425566,0.754587774,0.198161332,-16833.23667,0.023517456
G24000504302003,0.142653809,0.568787604,0.801354392,0.204339512,-8135.781334,0.0
G24000504303001,0.07625976,0.65352498,0.552159943,0.016501967,18855.27805,0.0
G24000504303002,0.067626205,0.632654409,0.552159943,0.002346138,15816.90832,0.0
G24000504303003,0.119846535,0.602951626,0.705130831,0.140019581,-5250.407457,0.08330344
G24000504303004,0.097372279,0.577120709,0.738663342,0.127602418,-5668.884044,0.0
G24000504304001,0.136338638,0.601303349,0.699971099,0.217379833,8487.937937,0.136820441
G24000504304002,0.188464642,0.625508591,0.749518803,0.264266034,6612.804261,0.024667155
G24000504304003,0.185134749,0.632645406,0.732163519,0.274676009,-2811.299691,0.421011563
G24000504306001,0.216794002,0.682513018,0.623590854,0.262730965,32303.01346,0.022921594
G24000504306002,0.346009924,0.486706356,0.654021336,0.332422956,5065.800734,0.048234403
