GISJOIN,pop2020
G24000100005001003,6
G24000100005001010,1.066666666672
G24000100005001011,14.933333333328
G24000100005001004,0.896551724133
G24000100005001012,12.103448275867
G24000100005001016,29
G24000100005001017,137.478129494734
G24000100005001022,7.521870505266
G24000100005001018,24
G24000100005001020,36
G24000100005001019,13
G24000100005001013,29
G24000100005001014,4
G24000100005001015,62
G24000100005001023,58
G24000100005001024,53
G24000100005001021,0
G24000100005001064,0
G24000100005001038,29
G24000100005001005,0
G24000100005001006,0
G24000100005001007,81.770700636982
G24000100005001008,16.229299363018
G24000100005001043,178.488879295416
G24000100005001044,0
G24000100005001058,10.554762932532
G24000100005001069,4.020862069672
G24000100005001070,2.513038793426
G24000100005001071,57.297284491398
G24000100005001072,10.554762932532
G24000100005001073,0
G24000100005001074,9.549547415352
G24000100005001076,4.020862069672
G24000100005001045,0
G24000100005001061,0
G24000100005001063,0
G24000100005001046,11.704918032788
G24000100005001047,13.934426229516
G24000100005001048,8.360655737696
G24000100005001060,25.448979591832
G24000100005001067,32.551020408168
G24000100005001068,30.114285714276
G24000100005001075,3.885714285724
G24000100005001059,23
G24000100005001039,10.029858792564
G24000100005001040,0
G24000100005001041,0
G24000100005001051,8.899374225448
G24000100005001052,2.14233466028
G24000100005001042,9
G24000100005001050,1.928432321708
G24000100005001053,0
G24000100005001054,0
G24000100005001065,0
G24000100005001056,1.358490566037
G24000100005001057,1.641509433963
G24000100005001049,5.547169811322
G24000100005001055,0.452830188678
G24000100005001027,6
G24000100005001028,97
G24000100005001030,2.604166666665
G24000100005001031,0
G24000100005001032,0
G24000100005001033,0.625
G24000100005001034,1.770833333335
G24000100005001035,0
G24000100005001036,0
G24000100005001037,0
G24000100005001029,0
G24000100005001025,16.988235294102
G24000100005001026,21.011764705898
G24000100005001066,8
G24000100005001062,0
G24000100005002000,0
G24000100005002001,0
G24000100005002002,0
G24000100005002003,10
G24000100005002004,0
G24000100005002005,0
G24000100005002006,0
G24000100005002008,0
G24000100005002009,0
G24000100005002010,0
G24000100005002058,0
G24000100005002059,9.881328385481
G24000100005002065,0
G24000100005002066,0
G24000100005002020,39.489684574726
G24000100005002060,0
G24000100005002061,0
G24000100005002062,0.73331197157
G24000100005002064,0
G24000100005002073,0
G24000100005002075,84.084149765324
G24000100005002076,0
G24000100005002021,0
G24000100005002022,0
G24000100005002063,0
G24000100005002074,0
G24000100005002011,0
G24000100005002012,0
G24000100005002013,0
G24000100005002014,0
G24000100005002015,0
G24000100005002016,0
G24000100005002019,0
G24000100004002052,0
G24000100005002017,0
G24000100005002023,57.746268656687
G24000100005002024,15.253731343313
G24000100005002025,0
G24000100005002028,0
G24000100005002030,0
G24000100005002046,0
G24000100005002048,0
G24000100005002026,0
G24000100005002027,7.752084206608
G24000100005002037,0
G24000100005002039,0
G24000100005002040,0
G24000100005002056,0
G24000100005002078,0.577853365092
G24000100005002079,0
