STATEFP,COUNTYFP,TRACTCE,BLOCKCE,GEOID,NAME,MTFCC,UR,UACE,UATYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_area,Shape_len
24,510,250600,1003,245102506001003,Block 1003,G5040,U,04843,U,S,1446065,23378,+39.2459007,-076.5874534,G24051002506001003,1469444.63026,13300.5302671
24,510,240100,2041,245102401002041,Block 2041,G5040,U,04843,U,S,6981,0,+39.2645496,-076.5909910,G24051002401002041,6981.27147253,655.474491932
24,510,250401,1028,245102504011028,Block 1028,G5040,U,04843,U,S,7017,0,+39.2396379,-076.6101934,G24051002504011028,7016.67981089,606.859681331
24,510,250401,1029,245102504011029,Block 1029,G5040,U,04843,U,S,1347,0,+39.2402204,-076.6094962,G24051002504011029,1347.14245078,311.120734588
24,510,260303,1008,245102603031008,Block 1008,G5040,U,04843,U,S,144152,0,+39.3114052,-076.5671387,G24051002603031008,144151.961032,2351.23073891
24,510,271400,3016,245102714003016,Block 3016,G5040,U,04843,U,S,16254,0,+39.3422681,-076.6289891,G24051002714003016,16253.8524596,514.496045113
24,510,271400,3018,245102714003018,Block 3018,G5040,U,04843,U,S,12934,0,+39.3413443,-076.6289892,G24051002714003018,12933.6148264,488.157457752
24,510,130700,6005,245101307006005,Block 6005,G5040,U,04843,U,S,12820,0,+39.3339566,-076.6305215,G24051001307006005,12820.031945,472.740121981
24,510,130600,2007,245101306002007,Block 2007,G5040,U,04843,U,S,5529,0,+39.3301128,-076.6270738,G24051001306002007,5529.07825323,293.966345871
24,510,040100,1055,245100401001055,Block 1055,G5040,U,04843,U,S,4604,0,+39.2894559,-076.6130872,G24051000401001055,4603.73535507,310.303918229
24,510,040100,1054,245100401001054,Block 1054,G5040,U,04843,U,S,3534,0,+39.2892881,-076.6121501,G24051000401001054,3533.63227241,251.456684309
24,510,040100,1053,245100401001053,Block 1053,G5040,U,04843,U,S,6060,0,+39.2893322,-076.6114628,G24051000401001053,6059.77964806,311.800791425
24,510,040100,1027,245100401001027,Block 1027,G5040,U,04843,U,S,8784,0,+39.2909889,-076.6084042,G24051000401001027,8784.39627925,380.583040988
24,510,040100,1050,245100401001050,Block 1050,G5040,U,04843,U,S,9966,0,+39.2882105,-076.6094706,G24051000401001050,9966.26479421,392.753070255
24,510,040100,1049,245100401001049,Block 1049,G5040,U,04843,U,S,13173,0,+39.2882758,-076.6078945,G24051000401001049,13173.2004189,484.657379197
24,510,040100,1089,245100401001089,Block 1089,G5040,U,04843,U,S,15939,0,+39.2872193,-076.6114488,G24051000401001089,15939.4808894,510.737573068
24,510,040100,1088,245100401001088,Block 1088,G5040,U,04843,U,S,8183,0,+39.2872689,-076.6104214,G24051000401001088,8183.39822703,391.568860111
24,510,230100,1005,245102301001005,Block 1005,G5040,U,04843,U,S,7090,0,+39.2755230,-076.6188935,G24051002301001005,7089.98205704,357.660189082
24,510,230100,2020,245102301002020,Block 2020,G5040,U,04843,U,S,7067,0,+39.2761796,-076.6171008,G24051002301002020,7067.50344338,356.664303174
24,510,280101,2038,245102801012038,Block 2038,G5040,U,04843,U,S,42631,0,+39.3506128,-076.6964152,G24051002801012038,42630.7513139,907.67697026
24,510,280200,4016,245102802004016,Block 4016,G5040,U,04843,U,S,16073,0,+39.3310179,-076.7101736,G24051002802004016,16072.5858798,656.91191609
24,510,271200,6028,245102712006028,Block 6028,G5040,U,04843,U,S,37016,0,+39.3659410,-076.6297188,G24051002712006028,37016.4582347,885.844038984
24,510,280101,1014,245102801011014,Block 1014,G5040,U,04843,U,S,2003,0,+39.3598841,-076.7112053,G24051002801011014,2003.48699895,260.239174844
24,510,280200,3008,245102802003008,Block 3008,G5040,U,04843,U,S,6731,0,+39.3261195,-076.7091720,G24051002802003008,6731.41915263,335.721333928
24,510,280200,3010,245102802003010,Block 3010,G5040,U,04843,U,S,30030,0,+39.3240050,-076.7106505,G24051002802003010,30030.5273373,1060.19236733
24,510,280301,2005,245102803012005,Block 2005,G5040,U,04843,U,S,416178,0,+39.3155744,-076.7081448,G24051002803012005,416177.699804,2949.37343839
24,510,280102,4005,245102801024005,Block 4005,G5040,U,04843,U,S,18723,0,+39.3367794,-076.7037819,G24051002801024005,18723.4829511,605.349098496
24,510,280102,4007,245102801024007,Block 4007,G5040,U,04843,U,S,17595,0,+39.3382567,-076.7016355,G24051002801024007,17595.0181774,604.412358055
24,510,280102,5010,245102801025010,Block 5010,G5040,U,04843,U,S,10173,0,+39.3415129,-076.6950538,G24051002801025010,10172.861783,467.13865196
24,510,280102,2026,245102801022026,Block 2026,G5040,U,04843,U,S,18656,0,+39.3364418,-076.6965851,G24051002801022026,18655.9052172,586.658579244
24,510,280102,2025,245102801022025,Block 2025,G5040,U,04843,U,S,19090,0,+39.3361843,-076.6955113,G24051002801022025,19089.9204603,589.984132977
24,510,280200,6012,245102802006012,Block 6012,G5040,U,04843,U,S,27266,0,+39.3310184,-076.7005232,G24051002802006012,27265.9907209,705.863886346
24,510,280200,5018,245102802005018,Block 5018,G5040,U,04843,U,S,21655,0,+39.3273148,-076.7043994,G24051002802005018,21655.2098084,655.116804016
24,510,271102,2003,245102711022003,Block 2003,G5040,U,04843,U,S,2242,0,+39.3458391,-076.6137260,G24051002711022003,2242.12294408,187.65802178
24,510,271200,2016,245102712002016,Block 2016,G5040,U,04843,U,S,27994,0,+39.3634782,-076.6115726,G24051002712002016,27994.1952103,783.868156515
24,510,200600,2005,245102006002005,Block 2005,G5040,U,04843,U,S,3552,0,+39.2835174,-076.6719218,G24051002006002005,3552.19560029,254.440074361
24,510,250103,1008,245102501031008,Block 1008,G5040,U,04843,U,S,1576,0,+39.2734334,-076.6730055,G24051002501031008,1575.56485499,170.954262214
24,510,250103,2021,245102501032021,Block 2021,G5040,U,04843,U,S,5419,0,+39.2660017,-076.6760524,G24051002501032021,5419.19861019,318.985741065
